name,email,dept,active
Pink Power Ranger,pink@powerranger.com,Wellness,TRUE
Blue Power Ranger,blue@powerranger.com,Research,TRUE
Yellow Power Ranger,yellow@powerranger.com,Human Resources,TRUE
Rita Repulsa,rita@alwaysangry.com,CEO,TRUE
Freddy Krueger,freddy@letshavefun.com,Grounds/Maintenance,TRUE
Charles Xavier,charles@xmen.com,Community Outreach,TRUE
Logan,logan@forgetful.com,Employee Counseling,FALSE
Uroro Munroe,mrs.wakanda@petty.com,Marketing,TRUE
Jean Grey,fiery@hot.com,Payroll,TRUE
Kermit DaFrog,green@lilypads.com,Accounting,TRUE
Bumblebee,yellow@car.com,Transportation,tRUE
Optimus Prime,isee@retirement.com,Security,tRUE
